2016-12-23 13:41:42 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=75&CP_Tire_Rim=24&CP_Tire_Width=175.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:42:25 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=75&CP_Tire_Rim=16C&CP_Tire_Width=175.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:45:50 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=13LT&CP_Tire_Width=175.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:51:36 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=85&CP_Tire_Rim=19&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:52:59 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=10.5&CP_Tire_Rim=45&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:57:25 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=75&CP_Tire_Rim=14&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 13:59:21 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=16C&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 13:59:58 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=13C&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:00:30 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=13&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:01:29 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=12C&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:02:11 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=16.5&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:29:31 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=35&CP_Tire_Rim=13LT&CP_Tire_Width=30X.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:30:08 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=35&CP_Tire_Rim=21&CP_Tire_Width=30X.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:30:39 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=35&CP_Tire_Rim=21&CP_Tire_Width=30X.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:40:49 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=26&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:41:41 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=12&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:43:09 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=45&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:44:11 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=30&CP_Tire_Rim=22&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:44:42 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=30&CP_Tire_Rim=22&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:45:17 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=30&CP_Tire_Rim=28&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:45:50 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=30&CP_Tire_Rim=16C&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:46:21 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=30&CP_Tire_Rim=16C&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:47:30 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=30&CP_Tire_Rim=19&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:48:38 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=50&CP_Tire_Rim=14&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 14:49:09 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=50&CP_Tire_Rim=14&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:49:58 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=35&CP_Tire_Rim=45&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:50:58 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=35&CP_Tire_Rim=14&CP_Tire_Width=185.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 14:53:35 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=65&CP_Tire_Rim=13&CP_Tire_Width=195.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
